user_id,start_year,start_month,start_day,start_hour,start_minute,end_year,end_month,end_day,end_hour,end_minute
82,2018,9,9,7,22,2018,9,9,21,33
83,2019,12,24,12,0,2019,12,24,19,18
84,2019,12,5,8,56,2019,12,5,23,18
85,2019,4,13,13,26,2019,4,14,8,1
86,2018,8,26,17,21,2018,8,27,10,13
87,2019,8,4,2,32,2019,8,4,22,17
88,2019,9,9,17,33,2019,9,10,18,9
89,2018,5,3,16,44,2018,5,3,18,10
90,2019,5,23,2,28,2019,5,23,9,39
91,2018,7,20,5,43,2018,7,20,20,58
92,2019,6,25,1,16,2019,6,25,10,1
93,2018,1,14,12,25,2018,1,14,13,55
94,2018,8,17,3,32,2018,8,17,18,13
95,2019,6,4,5,4,2019,6,4,15,28
96,2019,7,10,8,56,2019,7,10,13,4
97,2019,10,19,2,4,2019,10,19,23,18
98,2018,6,5,17,28,2018,6,5,23,45
99,2018,10,19,12,33,2018,10,19,13,36
100,2018,3,20,8,7,2018,3,20,22,43
101,2018,7,21,15,7,2018,7,21,19,7
102,2018,10,2,4,7,2018,10,2,11,7
103,2018,1,17,4,47,2018,1,18,1,47
104,2018,10,2,4,14,2018,10,3,3,14
105,2019,4,15,16,26,2019,4,16,10,26
106,2018,7,26,3,1,2018,7,26,13,1
107,2018,7,20,6,21,2018,7,20,17,21
108,2018,4,22,6,46,2018,4,22,19,46
109,2018,4,3,1,53,2018,4,3,12,53
110,2018,8,13,23,33,2018,8,14,19,33
111,2018,8,10,6,50,2018,8,11,5,50
112,2019,11,25,6,21,2019,11,25,13,21
113,2019,6,22,1,16,2019,6,22,10,16
114,2019,9,4,18,25,2019,9,5,14,25
115,2019,2,18,6,47,2019,2,18,15,47
116,2018,10,7,17,39,2018,10,8,14,39
117,2019,12,9,22,6,2019,12,10,10,6
118,2019,4,11,9,41,2019,4,11,12,41
119,2019,6,20,6,51,2019,6,20,20,51
120,2020,1,1,1,35,2020,1,1,4,35
121,2019,11,23,3,55,2019,11,23,6,55
122,2018,3,25,6,21,2018,3,26,4,21
123,2018,9,13,15,3,2018,9,14,10,3
124,2019,9,9,11,39,2019,9,10,7,39
125,2018,3,12,3,31,2018,3,13,2,31
126,2019,9,8,0,16,2019,9,8,15,16
127,2019,2,19,7,0,2019,2,19,19,0
128,2019,1,24,14,11,2019,1,24,18,11
129,2018,11,11,18,55,2018,11,11,19,55
130,2018,6,2,6,52,2018,6,3,4,52
131,2018,10,13,17,29,2018,10,14,15,29
132,2019,4,10,7,33,2019,4,11,5,33
133,2019,8,28,9,45,2019,8,28,19,45
134,2018,9,25,11,7,2018,9,25,22,7
135,2018,7,14,9,44,2018,7,15,3,44
136,2018,12,9,1,54,2018,12,9,4,54
137,2019,5,6,6,9,2019,5,6,18,9
138,2019,12,31,6,27,2019,12,31,15,27
139,2018,1,20,8,47,2018,1,20,9,47
140,2019,5,21,19,52,2019,5,22,3,52
141,2018,12,26,13,52,2018,12,27,0,52
142,2018,8,16,12,2,2018,8,17,0,2
143,2018,6,14,7,13,2018,6,14,18,13
144,2019,2,27,22,23,2019,2,28,4,23
145,2018,11,16,7,56,2018,11,17,5,56
146,2019,11,30,15,28,2019,11,30,23,28
147,2018,2,4,13,2,2018,2,5,4,2
148,2018,5,20,8,24,2018,5,20,17,24
149,2019,6,7,7,37,2019,6,7,19,37
150,2018,3,14,7,38,2018,3,15,3,38
151,2019,10,21,3,42,2019,10,22,1,42
152,2018,10,5,0,23,2018,10,5,15,23
153,2019,9,23,21,30,2019,9,24,5,30
154,2019,12,13,12,25,2019,12,13,18,25
155,2018,10,20,13,3,2018,10,20,20,3
156,2018,7,30,1,54,2018,7,30,22,54
157,2019,10,9,8,6,2019,10,9,9,6
158,2019,9,9,7,46,2019,9,9,20,46
159,2018,6,10,1,19,2018,6,10,2,19
160,2019,8,14,7,34,2019,8,15,0,34
161,2018,9,10,2,1,2018,9,10,17,1
162,2019,9,2,8,30,2019,9,3,5,30
163,2018,11,29,21,52,2018,11,30,7,52
164,2018,8,27,5,5,2018,8,27,16,5
165,2018,6,14,18,25,2018,6,15,13,25
166,2019,4,23,6,26,2019,4,23,7,26
167,2019,7,31,1,56,2019,7,31,15,56
168,2019,9,22,4,52,2019,9,22,14,52
169,2019,5,12,7,35,2019,5,12,9,35
170,2019,10,27,1,8,2019,10,27,10,8
171,2018,7,15,4,41,2018,7,15,18,41
172,2018,6,24,8,21,2018,6,24,21,21
173,2019,8,14,8,38,2019,8,15,5,38
174,2019,4,6,10,4,2019,4,7,6,4
175,2018,3,28,8,52,2018,3,28,11,52
176,2018,6,8,22,50,2018,6,9,6,50
177,2019,2,10,13,12,2019,2,11,5,12
178,2018,10,5,10,51,2018,10,6,1,51
179,2019,12,20,11,9,2019,12,21,0,9
180,2019,5,11,4,3,2019,5,11,23,3
181,2019,6,7,10,54,2019,6,8,3,54
182,2018,12,20,10,7,2018,12,21,8,7
183,2018,10,31,17,32,2018,11,1,11,32
184,2018,10,6,8,8,2018,10,6,17,8
185,2019,10,5,19,28,2019,10,6,5,28
186,2019,11,27,23,4,2019,11,28,18,4
187,2018,3,15,4,44,2018,3,15,19,44
188,2018,4,3,13,29,2018,4,3,18,29
189,2019,12,16,16,8,2019,12,17,10,8
190,2019,4,13,12,31,2019,4,14,3,31
191,2019,7,10,0,31,2019,7,10,21,31
192,2018,9,5,23,8,2018,9,6,8,8
193,2018,2,18,6,45,2018,2,19,5,45
194,2019,6,27,18,31,2019,6,27,22,31
195,2018,5,29,20,38,2018,5,30,1,38
196,2018,1,27,3,1,2018,1,27,14,1
197,2018,7,9,7,4,2018,7,9,20,4
198,2019,1,27,9,33,2019,1,27,18,33
199,2019,2,19,3,4,2019,2,19,15,4
200,2018,3,24,16,18,2018,3,25,12,18
201,2018,10,5,11,4,2018,10,5,15,4
202,2019,12,28,9,55,2019,12,29,8,55
203,2018,5,8,10,15,2018,5,9,5,15
204,2019,7,31,11,33,2019,8,1,0,33
205,2018,1,8,8,45,2018,1,9,4,45
206,2018,1,10,6,36,2018,1,10,10,36
207,2018,4,7,8,42,2018,4,7,23,42
208,2018,3,24,11,29,2018,3,24,20,29
209,2019,4,30,22,23,2019,5,1,6,23
210,2019,8,27,21,17,2019,8,28,7,17
211,2019,8,1,6,27,2019,8,2,0,27
212,2018,10,1,0,29,2018,10,1,10,29
213,2019,9,19,13,5,2019,9,20,8,5
214,2019,9,26,15,35,2019,9,27,8,35
215,2018,9,15,0,15,2018,9,15,22,15
216,2018,5,25,12,55,2018,5,26,0,55
217,2019,5,6,2,28,2019,5,6,7,28
218,2019,7,20,19,15,2019,7,21,0,15
219,2019,11,3,7,8,2019,11,4,4,8
220,2019,5,14,10,2,2019,5,14,18,2
221,2018,7,22,0,57,2018,7,22,12,57
222,2018,10,12,14,42,2018,10,12,17,42
223,2019,8,28,3,32,2019,8,28,23,32
224,2019,3,29,9,59,2019,3,29,11,59
225,2019,11,7,11,10,2019,11,7,20,10
226,2019,3,6,8,56,2019,3,6,11,56
227,2018,2,5,8,36,2018,2,5,10,36
228,2018,6,5,15,2,2018,6,6,8,2
229,2019,2,22,6,16,2019,2,23,4,16
230,2018,9,25,18,24,2018,9,25,19,24
231,2018,4,12,1,36,2018,4,12,5,36
232,2019,10,13,3,28,2019,10,13,5,28
233,2018,3,10,2,4,2018,3,10,12,4
234,2019,3,4,9,20,2019,3,4,20,20
235,2018,8,10,5,56,2018,8,10,22,56
236,2019,8,29,7,41,2019,8,30,4,41
237,2018,6,29,22,36,2018,6,30,17,36
238,2018,3,17,19,14,2018,3,17,20,14
239,2019,10,18,4,36,2019,10,18,23,36
240,2018,7,20,22,34,2018,7,21,18,34
241,2019,5,10,2,48,2019,5,10,17,48
242,2019,5,30,16,50,2019,5,31,13,50
243,2019,2,19,16,22,2019,2,20,4,22
244,2018,1,1,4,23,2018,1,1,8,23
245,2018,3,10,3,31,2018,3,11,2,31
246,2018,10,28,21,22,2018,10,29,3,22
247,2019,5,13,0,52,2019,5,13,21,52
248,2019,5,28,12,24,2019,5,29,4,24
249,2019,6,12,6,56,2019,6,12,12,56
250,2018,12,16,22,40,2018,12,17,11,40
251,2019,5,11,22,41,2019,5,12,15,41
252,2018,5,3,21,56,2018,5,4,14,56
253,2019,12,28,22,4,2019,12,28,23,4
254,2019,9,21,11,44,2019,9,21,21,44
255,2019,9,16,8,22,2019,9,16,21,22
256,2018,10,16,20,38,2018,10,17,2,38
257,2019,2,7,18,20,2019,2,8,10,20
258,2018,6,7,19,37,2018,6,8,1,37
259,2019,8,31,13,45,2019,9,1,2,45
260,2019,4,2,23,47,2019,4,3,2,47
261,2018,2,13,7,39,2018,2,13,13,39
262,2019,10,20,2,27,2019,10,20,18,27
263,2019,9,30,21,17,2019,10,1,2,17
264,2018,5,3,17,41,2018,5,4,6,41
265,2019,2,1,13,43,2019,2,2,5,43
266,2019,2,20,18,46,2019,2,21,4,46
267,2019,3,18,17,32,2019,3,19,13,32
268,2019,5,26,19,12,2019,5,27,15,12
269,2018,8,6,20,40,2018,8,7,16,40
270,2018,3,27,14,37,2018,3,28,7,37
271,2019,2,9,6,29,2019,2,9,20,29
272,2018,9,19,22,29,2018,9,20,8,29
273,2019,5,11,5,53,2019,5,11,21,53
274,2019,3,8,3,59,2019,3,8,13,59
275,2018,1,16,11,31,2018,1,17,9,31
276,2019,3,13,9,30,2019,3,13,20,30
277,2019,5,5,15,53,2019,5,6,11,53
278,2019,5,19,22,21,2019,5,20,10,21
279,2018,6,15,9,31,2018,6,15,13,31
280,2019,9,12,17,50,2019,9,12,23,50
281,2018,5,27,11,45,2018,5,28,6,45
282,2019,9,16,22,16,2019,9,17,18,16
283,2019,5,21,17,3,2019,5,22,1,3
284,2018,4,6,2,38,2018,4,6,8,38
285,2019,1,25,18,31,2019,1,26,8,31
286,2019,1,1,3,55,2019,1,1,9,55
287,2018,8,12,11,59,2018,8,12,12,59
288,2019,8,30,12,11,2019,8,31,2,11
289,2019,9,8,9,37,2019,9,8,20,37
290,2018,12,23,4,53,2018,12,23,13,53
291,2018,11,15,4,43,2018,11,15,11,43
292,2019,10,11,0,24,2019,10,11,12,24
293,2019,10,17,17,40,2019,10,17,19,40
294,2019,1,26,22,32,2019,1,27,13,32
295,2019,2,8,20,57,2019,2,9,7,57
296,2019,8,22,23,54,2019,8,23,7,54
297,2018,6,29,7,57,2018,6,29,20,57
298,2018,12,27,21,53,2018,12,28,15,53
299,2019,12,8,1,51,2019,12,8,13,51
300,2018,11,24,17,33,2018,11,25,4,33
301,2018,8,4,5,14,2018,8,4,10,14
302,2019,4,25,7,29,2019,4,25,14,29
303,2018,9,30,3,26,2018,10,1,2,26
304,2018,2,18,5,48,2018,2,19,0,48
305,2019,9,4,15,8,2019,9,4,20,8
306,2019,2,1,11,13,2019,2,1,23,13
307,2018,12,30,16,28,2018,12,31,11,28
308,2019,9,8,12,23,2019,9,9,8,23
309,2018,3,8,2,34,2018,3,8,12,34
310,2018,8,14,1,24,2018,8,14,3,24
311,2018,7,16,6,51,2018,7,17,0,51
312,2018,12,28,23,56,2018,12,29,19,56
313,2018,2,21,5,24,2018,2,21,17,24
314,2018,12,15,22,22,2018,12,16,17,22
315,2018,6,29,17,5,2018,6,30,9,5
316,2018,11,1,14,10,2018,11,2,5,10
317,2018,11,22,16,12,2018,11,23,4,12
318,2018,8,18,23,32,2018,8,19,17,32
319,2019,11,7,13,45,2019,11,7,14,45
320,2018,10,10,0,29,2018,10,10,11,29
321,2019,1,28,8,54,2019,1,28,21,54
322,2018,5,18,22,37,2018,5,19,15,37
323,2019,6,24,0,3,2019,6,24,13,3
324,2019,6,18,11,8,2019,6,18,21,8
325,2019,8,2,18,0,2019,8,3,14,0
326,2018,8,9,19,19,2018,8,10,9,19
327,2019,12,2,22,46,2019,12,3,10,46
328,2018,5,5,22,15,2018,5,6,17,15
329,2018,4,18,7,35,2018,4,19,3,35
330,2019,12,7,11,5,2019,12,8,1,5
331,2019,6,16,1,9,2019,6,16,15,9
332,2019,7,7,19,17,2019,7,7,23,17
333,2019,8,14,20,17,2019,8,15,13,17
334,2018,1,10,20,22,2018,1,11,6,22
335,2018,8,16,15,39,2018,8,17,7,39
336,2018,10,10,9,41,2018,10,10,16,41
337,2018,4,16,3,44,2018,4,16,20,44
338,2018,6,29,0,49,2018,6,29,15,49
339,2019,4,11,23,2,2019,4,12,6,2
340,2019,12,28,0,27,2019,12,28,15,27
341,2018,4,4,20,1,2018,4,5,18,1
342,2018,1,2,13,9,2018,1,3,10,9
343,2018,4,6,5,23,2018,4,6,11,23
344,2019,7,24,14,21,2019,7,25,6,21
345,2019,8,10,5,51,2019,8,10,14,51
346,2019,8,25,2,37,2019,8,25,14,37
347,2018,7,7,0,13,2018,7,7,19,13
348,2019,5,12,15,47,2019,5,12,19,47
349,2018,1,11,11,44,2018,1,11,18,44
350,2019,4,8,20,23,2019,4,9,0,23
351,2019,5,14,0,41,2019,5,14,20,41
352,2019,5,11,13,20,2019,5,11,23,20
353,2018,12,14,0,33,2018,12,14,22,33
354,2018,8,28,4,0,2018,8,28,11,0
355,2018,8,8,5,39,2018,8,8,14,39
356,2018,9,13,7,10,2018,9,13,20,10
357,2018,4,8,10,20,2018,4,8,11,20
358,2019,4,13,16,9,2019,4,14,14,9
359,2019,10,25,22,59,2019,10,26,5,59
360,2019,4,2,4,2,2019,4,2,19,2
361,2019,12,22,2,8,2019,12,22,7,8
362,2019,3,8,13,7,2019,3,8,19,7
363,2019,1,11,1,1,2019,1,11,16,1
364,2019,1,8,21,30,2019,1,9,18,30
365,2019,11,25,18,14,2019,11,25,22,14
366,2019,8,12,20,36,2019,8,13,16,36
367,2018,12,4,5,44,2018,12,4,22,44
368,2018,11,13,23,27,2018,11,14,20,27
369,2019,8,6,22,12,2019,8,7,8,12
370,2019,12,18,10,37,2019,12,19,1,37
371,2018,8,27,13,44,2018,8,28,4,44
372,2019,10,12,5,47,2019,10,12,9,47
373,2018,7,5,13,54,2018,7,6,9,54
374,2018,2,12,13,19,2018,2,13,10,19
375,2018,10,7,23,37,2018,10,8,2,37
376,2018,2,26,15,17,2018,2,26,23,17
377,2019,7,19,13,43,2019,7,19,23,43
378,2019,12,16,21,41,2019,12,17,2,41
379,2018,10,22,12,34,2018,10,23,5,34
380,2019,3,2,9,4,2019,3,3,0,4
381,2018,6,23,10,11,2018,6,24,3,11
382,2018,8,7,6,50,2018,8,7,9,50
383,2019,1,5,20,31,2019,1,6,15,31
384,2018,8,29,1,28,2018,8,29,22,28
385,2019,9,14,9,31,2019,9,14,11,31
386,2018,11,15,20,4,2018,11,16,18,4
387,2019,4,7,4,4,2019,4,7,20,4
388,2019,11,24,0,46,2019,11,24,22,46
389,2018,3,29,21,34,2018,3,30,11,34
390,2019,1,13,0,7,2019,1,13,1,7
391,2018,3,23,22,20,2018,3,24,18,20
392,2019,2,11,19,51,2019,2,12,10,51
393,2019,1,16,2,37,2019,1,16,12,37
394,2019,6,20,8,11,2019,6,20,19,11
395,2019,3,11,3,12,2019,3,11,4,12
396,2018,11,28,16,41,2018,11,29,9,41
397,2019,5,2,9,20,2019,5,2,21,20
398,2018,4,14,0,42,2018,4,14,16,42
399,2018,12,12,19,9,2018,12,13,15,9
400,2019,5,2,2,27,2019,5,2,19,27
401,2018,8,26,11,16,2018,8,27,8,16
402,2019,5,16,4,21,2019,5,16,17,21
403,2019,10,3,16,0,2019,10,3,17,0
404,2019,8,14,9,46,2019,8,14,14,46
405,2018,7,13,7,27,2018,7,13,13,27
406,2019,11,24,6,38,2019,11,25,5,38
407,2019,11,15,18,9,2019,11,16,16,9
408,2019,4,7,5,47,2019,4,7,16,47
409,2019,7,14,2,22,2019,7,15,0,22
410,2018,3,14,18,7,2018,3,15,9,7
411,2019,10,13,6,41,2019,10,13,12,41
412,2019,10,31,20,23,2019,11,1,5,23
413,2019,9,9,13,40,2019,9,9,18,40
414,2018,2,6,22,21,2018,2,7,6,21
415,2019,1,31,15,7,2019,2,1,10,7
416,2019,4,14,4,46,2019,4,14,23,46
417,2019,4,17,14,35,2019,4,17,22,35
418,2019,6,20,2,23,2019,6,20,21,23
419,2019,8,8,21,57,2019,8,9,19,57
420,2018,10,10,14,33,2018,10,11,6,33
421,2018,7,21,9,55,2018,7,21,23,55
422,2019,1,24,13,24,2019,1,24,21,24
423,2019,9,2,1,8,2019,9,2,11,8
424,2019,1,9,23,57,2019,1,10,16,57
425,2018,4,1,0,58,2018,4,1,1,58
426,2018,11,21,7,4,2018,11,21,8,4
427,2019,4,5,19,2,2019,4,6,3,2
428,2018,4,5,22,19,2018,4,5,23,19
429,2018,5,26,20,37,2018,5,26,23,37
430,2019,10,27,7,15,2019,10,27,17,15
431,2019,8,18,18,21,2019,8,19,8,21
432,2019,5,7,14,31,2019,5,8,13,31
433,2019,12,4,23,22,2019,12,5,9,22
434,2018,4,24,5,29,2018,4,24,7,29
435,2019,8,26,7,36,2019,8,26,17,36
436,2018,5,30,8,32,2018,5,31,0,32
437,2018,10,9,10,28,2018,10,9,17,28
438,2018,8,24,17,29,2018,8,25,11,29
439,2018,10,13,16,54,2018,10,14,0,54
440,2018,8,13,22,57,2018,8,14,13,57
441,2019,9,18,20,9,2019,9,19,8,9
442,2019,8,17,4,26,2019,8,17,21,26
443,2019,10,6,13,14,2019,10,6,17,14
444,2018,2,6,19,27,2018,2,7,4,27
445,2018,11,7,0,7,2018,11,7,9,7
446,2018,3,6,17,8,2018,3,7,15,8
447,2018,8,28,20,40,2018,8,29,5,40
448,2019,10,7,12,57,2019,10,8,10,57
449,2019,9,9,8,39,2019,9,9,15,39
450,2018,12,8,13,16,2018,12,8,17,16
451,2019,5,8,1,59,2019,5,8,10,59
452,2018,12,6,13,54,2018,12,7,12,54
453,2018,9,6,23,3,2018,9,7,17,3
454,2018,6,11,0,8,2018,6,11,21,8
455,2018,3,19,16,49,2018,3,19,20,49
456,2019,10,19,10,14,2019,10,20,6,14
457,2019,12,13,17,53,2019,12,14,8,53
458,2019,6,24,13,49,2019,6,25,0,49
459,2018,9,18,21,27,2018,9,19,14,27
460,2019,2,16,11,50,2019,2,16,20,50
461,2018,12,4,22,11,2018,12,5,5,11
462,2018,12,29,23,13,2018,12,30,15,13
463,2019,8,17,20,23,2019,8,17,23,23
464,2019,3,13,18,4,2019,3,13,20,4
465,2019,3,25,4,6,2019,3,25,10,6
466,2019,12,24,3,26,2019,12,24,10,26
467,2018,6,26,0,4,2018,6,26,7,4
468,2019,10,14,17,0,2019,10,14,20,0
469,2019,8,24,19,52,2019,8,25,17,52
470,2019,12,11,7,1,2019,12,12,6,1
471,2018,5,19,8,2,2018,5,20,4,2
472,2019,9,10,17,21,2019,9,11,5,21
473,2018,3,19,2,16,2018,3,20,1,16
474,2018,6,27,19,42,2018,6,28,13,42
475,2019,2,27,17,36,2019,2,28,3,36
476,2019,11,1,13,50,2019,11,2,1,50
477,2018,7,2,9,1,2018,7,3,5,1
478,2018,10,29,16,16,2018,10,30,9,16
479,2018,4,25,3,43,2018,4,25,14,43
480,2018,4,14,20,38,2018,4,15,12,38
481,2019,8,6,8,35,2019,8,6,19,35
482,2019,4,15,1,57,2019,4,15,11,57
483,2018,5,11,21,1,2018,5,12,5,1
484,2018,11,27,5,26,2018,11,27,16,26
485,2018,6,16,18,2,2018,6,17,2,2
486,2019,2,1,8,12,2019,2,1,12,12
487,2018,11,1,2,51,2018,11,1,3,51
488,2019,12,14,20,32,2019,12,15,0,32
489,2018,6,29,17,5,2018,6,30,5,5
490,2018,3,4,17,22,2018,3,5,8,22
491,2018,3,23,15,37,2018,3,24,13,37
492,2018,2,2,10,23,2018,2,2,20,23
493,2018,10,12,21,36,2018,10,13,9,36
494,2018,8,18,10,29,2018,8,18,12,29
495,2018,11,6,10,39,2018,11,6,17,39
496,2019,9,24,6,4,2019,9,24,18,4
497,2019,7,21,21,14,2019,7,21,22,14
498,2018,11,24,6,41,2018,11,25,4,41
499,2019,3,7,19,51,2019,3,7,21,51
500,2018,3,7,3,31,2018,3,7,7,31
501,2018,4,11,3,53,2018,4,11,4,53
502,2018,1,16,21,30,2018,1,17,16,30
503,2019,10,11,9,15,2019,10,12,5,15
504,2019,10,21,7,56,2019,10,21,19,56
505,2019,9,5,4,57,2019,9,5,11,57
506,2019,5,31,2,46,2019,5,31,15,46
507,2018,6,8,4,31,2018,6,8,6,31
508,2019,2,7,8,59,2019,2,7,17,59
509,2019,1,3,22,55,2019,1,4,10,55
510,2019,1,4,21,37,2019,1,5,14,37
511,2018,10,22,5,35,2018,10,22,16,35
512,2019,6,21,19,9,2019,6,22,18,9
513,2019,9,11,0,59,2019,9,11,21,59
514,2018,9,27,13,20,2018,9,28,2,20
515,2019,3,24,10,17,2019,3,24,17,17
516,2019,6,5,13,59,2019,6,5,22,59
517,2019,3,27,17,26,2019,3,28,3,26
518,2019,8,21,14,15,2019,8,21,17,15
519,2018,9,22,8,31,2018,9,23,1,31
520,2019,6,3,15,9,2019,6,3,19,9
521,2019,4,13,21,5,2019,4,14,8,5
522,2018,5,31,11,27,2018,6,1,10,27
523,2018,2,18,21,18,2018,2,18,22,18
524,2019,5,3,21,0,2019,5,4,19,0
525,2019,7,11,1,11,2019,7,11,3,11
526,2018,1,6,0,21,2018,1,6,19,21
527,2019,11,21,22,26,2019,11,22,1,26
528,2019,3,24,19,29,2019,3,24,22,29
529,2019,5,12,2,8,2019,5,12,19,8
530,2018,3,26,21,9,2018,3,27,2,9
531,2018,1,16,2,20,2018,1,16,21,20
532,2018,7,11,2,40,2018,7,11,7,40
533,2018,8,28,3,21,2018,8,28,19,21
534,2019,10,2,12,14,2019,10,3,0,14
535,2018,10,22,10,48,2018,10,23,0,48
536,2019,4,4,10,22,2019,4,4,20,22
537,2019,10,12,16,12,2019,10,13,1,12
538,2018,3,19,0,12,2018,3,19,9,12
539,2018,2,17,21,55,2018,2,18,14,55
540,2019,9,5,5,32,2019,9,5,10,32
541,2018,3,10,16,58,2018,3,11,5,58
542,2018,8,21,8,48,2018,8,22,6,48
543,2018,2,3,7,38,2018,2,3,15,38
544,2019,5,29,1,16,2019,5,29,9,16
545,2018,9,18,14,47,2018,9,18,19,47
546,2019,4,8,10,40,2019,4,9,0,40
547,2019,10,1,17,7,2019,10,2,3,7
548,2019,1,12,13,10,2019,1,13,12,10
549,2018,7,28,22,52,2018,7,29,19,52
550,2019,1,3,2,49,2019,1,3,16,49
551,2018,9,8,2,15,2018,9,8,19,15
552,2019,10,11,7,6,2019,10,11,19,6
553,2019,6,10,9,59,2019,6,10,20,59
554,2019,3,4,9,23,2019,3,5,0,23
555,2018,8,13,12,22,2018,8,14,2,22
556,2018,11,8,19,33,2018,11,9,3,33
557,2018,11,1,12,41,2018,11,1,21,41
558,2018,7,6,10,9,2018,7,7,3,9
559,2019,6,10,12,3,2019,6,10,23,3
560,2019,11,13,23,4,2019,11,14,16,4
561,2018,4,27,3,22,2018,4,27,21,22
562,2018,7,29,22,36,2018,7,30,4,36
563,2019,6,21,8,12,2019,6,21,10,12
564,2019,7,11,15,4,2019,7,11,23,4
565,2019,5,4,1,27,2019,5,4,16,27
566,2019,5,30,23,13,2019,5,31,11,13
567,2019,1,2,18,13,2019,1,2,19,13
568,2019,8,5,12,1,2019,8,6,4,1
569,2018,6,17,20,20,2018,6,18,5,20
570,2018,8,14,3,53,2018,8,14,5,53
571,2018,4,17,20,56,2018,4,18,5,56
572,2019,5,5,15,50,2019,5,6,8,50
573,2018,9,3,4,18,2018,9,3,15,18
574,2019,10,17,1,51,2019,10,18,0,51
575,2019,11,30,19,1,2019,11,30,23,1
576,2019,11,14,2,53,2019,11,14,13,53
577,2019,4,3,9,28,2019,4,3,11,28
578,2018,6,8,19,35,2018,6,9,11,35
579,2018,9,19,7,40,2018,9,20,2,40
